Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Total Population (year-end)(10000 persons),1376 ,1359 ,1363 ,1345 ,1333 ,1316 ,1297 ,1278 ,1258 ,1248 ,1232 ,1216 ,1200 ,1184 ,1168 ,1154 ,1143 
Average Wage of Staff and Workers(yuan),149843 ,134994 ,122749 ,113073 ,103400 ,93997 ,85306 ,75835 ,65683 ,58140 ,56328 ,46507 ,40117 ,34191 ,29674 ,25312 ,21852 
